gene	SRR17276325	SRR17276326	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000112852	116.78192	111.71293	163.15214	157.36318	113.06486	121.14182	139.74386	130.32766	113.19605	139.16838	1101.03478	-0.11317	0.1783	-0.63468	0.52564	0.99999
ENSG00000272154	19.64059	18.95983	6.52609	7.05808	9.95625	5.75981	5.11523	7.81722	6.98741	6.73526	78.57136	-0.08478	0.4311	-0.19667	0.84409	0.99999
ENSG00000113205	18.04811	16.23179	15.94229	19.57014	20.18528	16.62913	18.28424	21.61949	18.86601	15.82381	152.07729	-0.08296	0.14435	-0.57473	0.56547	0.99999
ENSG00000272108	10.79348	7.63849	7.55161	4.3311	9.54709	7.89651	7.07426	8.55008	5.82284	5.35575	61.95887	-0.00238	0.2417	-0.00983	0.99216	0.99999
ENSG00000081818	11.32431	5.59247	6.99223	7.69973	9.54709	7.06041	8.05377	10.62653	8.38489	4.62542	66.64712	-0.10752	0.2607	-0.41243	0.68002	0.99999
ENSG00000113209	16.10175	7.09288	26.38403	109.40029	118.24756	146.87517	9.6863	19.66519	40.99281	33.59516	441.06832	-0.30535	0.89954	-0.33945	0.73427	0.99999
ENSG00000280029	13.97844	6.82008	8.48391	29.1948	35.05147	40.41157	3.04737	6.71792	12.11151	8.03363	136.19012	-0.29399	0.6457	-0.4553	0.6489	0.99999
ENSG00000113211	2.47719	2.18243	2.05106	3.04781	5.72826	5.29531	2.8297	5.37434	3.26079	3.08361	29.43573	0.03909	0.37646	0.10383	0.91731	0.99999
ENSG00000280336	1.2386	0.95481	0.65261	0.80205	1.50026	1.1148	0.65301	0.36643	0.69874	0.73033	7.25886	-0.37502	0.50287	-0.74575	0.45582	0.99999
ENSG00000113212	7.25463	3.81925	2.89012	2.08534	4.36439	2.5083	2.61203	5.37434	6.52158	3.16476	33.82398	0.1121	0.40069	0.27977	0.77965	0.99999
ENSG00000272674	9.90877	6.54728	5.22087	13.31411	21.54915	35.39496	13.27784	15.63443	7.10387	5.35575	110.25228	0.09892	0.52743	0.18755	0.85123	0.99999
ENSG00000278936	11.14736	11.45774	4.66149	5.93521	10.22903	14.30663	4.6799	3.0536	1.86331	2.35328	57.45664	0.0286	0.56342	0.05076	0.95952	0.99999
ENSG00000177839	16.63258	11.04853	10.44174	22.77836	15.27535	21.92444	12.29833	16.24515	16.1875	16.47299	134.08904	-0.18727	0.2627	-0.71288	0.47592	0.99999
ENSG00000279375	4.42356	4.09205	1.95783	1.4437	3.68245	2.78701	0.87068	1.22144	1.16457	0.97377	18.63248	-0.00388	0.55069	-0.00705	0.99437	0.99999
