gene	SRR17276325	SRR17276326	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000269956	3.71579	2.59163	1.02553	0.96247	1.50026	1.9509	1.52369	1.34358	1.28103	0.81148	13.8333	0.03199	0.51595	0.062	0.95056	NA
ENSG00000079277	9.02406	8.4569	7.8313	8.8226	12.41122	13.19182	10.44814	10.99296	9.66592	5.35575	80.23595	0.10804	0.25222	0.42835	0.66839	0.99924
ENSG00000237950	0.53083	0.68201	0.27969	1.12288	2.18219	1.1148	0.54417	0.73286	0.46583	0.64918	6.91055	-0.58758	0.73727	-0.79698	0.42546	NA
ENSG00000117408	26.54134	28.37154	35.42732	37.53617	31.50541	39.48257	38.20101	40.18538	37.4991	37.49026	296.75209	0.03759	0.16136	0.23293	0.81582	0.99924
ENSG00000285649	6.54686	6.68368	3.26304	2.24575	2.45497	2.6012	1.74136	2.32074	2.21268	2.27214	26.89291	0.15749	0.3761	0.41875	0.6754	NA
ENSG00000117410	36.09623	30.41756	31.32521	32.88425	28.3685	32.51506	40.16004	30.78029	32.72437	34.73123	277.84495	-0.16138	0.16774	-0.96208	0.33601	0.99924
ENSG00000159214	8.49323	11.04853	10.44174	18.76809	12.13845	9.94032	14.91037	8.42794	11.52923	23.12711	109.91136	-0.58144	0.26049	-2.23213	0.02561	0.59562
ENSG00000196517	60.86815	54.96985	52.11545	119.50618	38.73392	40.50447	65.0832	71.45425	89.90468	95.75433	587.37421	-0.28583	0.20073	-1.42395	0.15446	0.99924
ENSG00000271647	0.88471	4.50125	0.46615	0.64164	0.13639	0.2787	1.30602	0.97715	0.93165	1.29836	9.64205	0.282	0.71395	0.39498	0.69286	NA
ENSG00000172031	0.17694	1.09121	0.27969	0	1.63664	1.1148	0.87068	0.48858	0.46583	0.56803	5.53867	0.36861	0.89403	0.4123	0.68012	NA
ENSG00000228594	2.83108	5.59247	4.28857	4.97274	3.40968	4.55211	14.80153	9.64938	6.87095	8.76396	55.83295	-0.05354	0.32312	-0.16568	0.86841	NA
ENSG00000286989	0.17694	1.77322	0.74584	0.16041	0.81832	0.8361	1.08835	1.46573	0.8152	0.81148	7.26494	0.91673	0.76584	1.19703	0.2313	NA
ENSG00000272106	8.49323	13.64016	19.11211	19.24932	24.27689	21.45994	17.74007	22.96307	14.44065	16.1484	148.86674	0.07876	0.21082	0.37357	0.70873	0.99924
ENSG00000272004	4.95438	4.91046	5.50056	2.40616	4.228	3.43731	2.06786	1.58787	5.35701	3.5705	31.84584	0.18917	0.37559	0.50367	0.61449	NA
ENSG00000189339	33.08821	32.19078	51.46285	48.1233	49.78127	52.3028	47.01663	48.0026	58.34488	59.40015	404.79793	-0.01704	0.14079	-0.12106	0.90365	0.99924
ENSG00000008128	1.59248	0.81841	1.02553	1.12288	0.95471	1.1148	1.41485	1.0993	1.04811	0.89263	9.29568	-0.23514	0.60611	-0.38794	0.69806	NA
ENSG00000268575	9.201	7.77489	12.77248	11.71	8.18322	9.75452	9.79513	10.87082	6.52158	7.22215	78.7399	-0.01076	0.2375	-0.0453	0.96387	0.99924
ENSG00000008130	32.73432	29.73555	47.2675	51.49193	36.55173	41.61928	45.71061	45.07114	55.54991	56.80342	374.67494	-0.06898	0.1495	-0.46138	0.64453	0.99924
ENSG00000117505	73.25411	56.47027	80.36408	65.28727	76.24035	91.69247	68.23941	82.08078	67.31205	66.46	609.03041	0.05517	0.14639	0.37683	0.7063	0.99924
ENSG00000162889	79.80098	51.83262	59.94676	58.71042	57.28256	62.42891	67.36873	89.77585	70.6893	52.98947	544.99271	0.03403	0.1674	0.20331	0.8389	0.99924
ENSG00000224114	1.2386	0.1364	1.8646	3.52904	1.50026	1.858	0.54417	1.0993	4.07599	4.86886	17.8455	-0.44147	0.53998	-0.81758	0.4136	NA
ENSG00000198890	13.8015	21.00585	18.08658	19.24932	17.32115	22.48184	20.67861	23.20736	20.03058	14.52545	159.75954	0.25754	0.20016	1.28665	0.19822	0.99924
ENSG00000142669	28.48771	37.23764	41.11434	51.01069	38.18837	47.37909	57.5736	57.65197	65.91457	58.83211	409.09143	0.06309	0.16904	0.37323	0.70898	0.99924
ENSG00000162517	23.53333	31.50878	34.49502	42.66932	28.64128	33.72276	37.548	34.93319	40.29407	37.16567	291.23403	0.02353	0.17928	0.13126	0.89557	0.99924
ENSG00000235790	1.2386	1.36402	0.74584	0.48123	0.81832	0.5574	0.76184	0.48858	0.58228	0.40574	6.1946	-0.02671	0.73823	-0.03619	0.97113	NA
ENSG00000272100	6.72381	10.09372	3.16981	3.20822	5.18271	3.34441	3.80922	4.03075	3.14433	4.05739	39.00679	-0.10461	0.33822	-0.30929	0.7571	NA
ENSG00000085840	13.44761	8.7297	13.61155	7.69973	25.91354	25.36175	9.35979	23.69594	11.99505	7.141	121.18317	0.41406	0.2666	1.55311	0.1204	0.99924
ENSG00000143751	65.29171	47.19496	49.59825	45.39631	43.78024	43.75598	45.0576	47.39188	44.95234	42.52142	398.02999	-0.07931	0.14899	-0.53235	0.59448	0.99924
ENSG00000272562	0.88471	0.68201	1.21199	0.96247	1.0911	1.2077	0.54417	1.0993	1.39748	0.40574	7.91667	0.54348	0.67443	0.80583	0.42034	NA
ENSG00000163041	31.84961	21.96066	25.82465	17.32439	25.50438	28.79905	20.24327	30.90244	40.87635	38.30173	236.80981	0.14176	0.19219	0.73759	0.46076	0.99924
ENSG00000182827	111.2967	95.34474	99.10327	99.93604	76.92229	78.87224	77.49037	75.24071	85.36287	94.37482	752.22045	-0.12018	0.12764	-0.94151	0.34644	0.99924
ENSG00000234478	32.91127	24.55229	11.18758	8.50178	6.68296	7.52491	10.44814	7.32864	12.46088	11.19839	110.83537	-0.09178	0.23003	-0.39899	0.6899	0.99924
ENSG00000237101	16.45563	16.5046	6.899	7.53932	5.31909	4.83081	5.11523	6.96221	5.1241	6.24838	67.5817	-0.06175	0.25902	-0.2384	0.81157	0.99924
ENSG00000143748	50.42855	37.23764	41.95341	32.88425	42.41637	36.97427	37.43917	42.26183	35.40288	33.27057	326.3365	-0.04612	0.16055	-0.28725	0.77392	0.99924
ENSG00000143771	37.51177	34.37321	37.66484	38.65905	42.96192	39.48257	38.85402	41.77325	30.51169	37.00337	317.74391	-0.13471	0.15151	-0.8891	0.37395	0.99924
ENSG00000183682	22.11779	9.68452	7.17869	3.20822	6.81935	6.03851	4.35339	8.18365	5.70639	6.24838	65.7654	0.04425	0.33325	0.1328	0.89435	0.99924
ENSG00000228060	21.23308	17.86861	11.18758	7.86014	6.2738	9.94032	6.09475	10.2601	6.52158	5.03116	84.84175	0.35718	0.24819	1.43912	0.15012	0.99924
ENSG00000116983	1.2386	2.72803	0.83907	0.80205	0.68194	1.3935	2.5032	2.19859	0.8152	0.73033	11.63628	0.38676	0.57791	0.66924	0.50334	NA
ENSG00000090621	46.53582	35.46442	54.16651	45.71713	52.91817	60.84961	41.68372	58.87341	37.38265	40.97961	396.78248	0.04541	0.16382	0.2772	0.78163	0.99924
ENSG00000143369	0.88471	0.2728	1.77137	1.4437	1.0911	1.2077	1.41485	1.46573	0.46583	0.64918	8.9407	-0.27466	0.64235	-0.42759	0.66895	NA
ENSG00000237781	0.35388	0.68201	0.46615	0	2.86413	1.4864	0.54417	1.58787	0.58228	0.32459	7.24568	0.86244	0.81209	1.06199	0.28824	NA
ENSG00000143420	135.36086	102.57402	118.40184	119.6666	107.3366	115.38201	103.06654	122.3883	117.50495	117.82652	973.9644	-0.05516	0.13387	-0.41207	0.68029	0.99924
ENSG00000143457	27.42606	23.05187	20.23086	22.29713	16.50283	18.30133	21.00511	18.44375	23.99011	21.99104	179.53464	-0.10292	0.18096	-0.56873	0.56954	0.99924
ENSG00000203804	13.97844	10.36652	7.8313	5.61438	8.72877	7.52491	4.6799	6.22934	5.82284	5.4369	63.33086	0.01619	0.26709	0.06062	0.95166	0.99924
ENSG00000143384	498.2695	381.10614	447.13008	483.3183	415.16215	411.17615	403.99472	430.55765	421.2244	549.61365	3742.40051	-0.20353	0.12519	-1.6258	0.10399	0.99591
ENSG00000143793	32.02656	26.05271	19.01888	21.49507	26.59547	22.94634	21.33162	24.55095	19.68121	20.85497	196.09229	-0.15531	0.17224	-0.90173	0.3672	0.99924
ENSG00000162910	23.35638	15.95899	21.25639	24.54288	18.27586	17.65103	21.54929	18.07731	24.80531	21.99104	175.05505	-0.21521	0.18666	-1.15299	0.24892	0.99924
ENSG00000198835	1.41554	0.54561	1.02553	1.28329	1.0911	1.2077	0.97951	1.0993	1.04811	1.37951	9.32368	-0.37125	0.61173	-0.60689	0.54393	NA
ENSG00000181873	10.08571	9.68452	8.7636	9.78507	12.27483	10.49772	9.46863	13.80227	8.85072	9.73773	86.17941	-0.0488	0.23642	-0.20642	0.83646	0.99924
ENSG00000162913	3.18496	1.09121	0.55938	0.32082	1.90942	1.4864	1.52369	2.07645	0.23291	0.48689	10.53682	-0.39793	0.63102	-0.63061	0.5283	NA
ENSG00000269934	8.13935	5.45606	2.98335	1.92493	7.09213	7.89651	3.15621	4.88576	1.39748	1.05492	36.01511	0.18309	0.35307	0.51857	0.60406	NA
ENSG00000287315	6.72381	5.59247	2.5172	1.76452	6.13742	5.48111	3.80922	3.90861	1.28103	0.97377	31.37599	0.02602	0.35984	0.0723	0.94236	NA
